"Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	Q20A	Q20I	Q20E	Q21A	Q21I	Q21E	Q22A	Q22I	Q22E	Q23A	Q23I	Q23E	Q24A	Q24I	Q24E	Q25A	Q25I	Q25E	Q26A	Q26I	Q26E	Q27A	Q27I	Q27E	Q28A	Q28I	Q28E	Q29A	Q29I	Q29E	Q30A	Q30I	Q30E	Q31A	Q31I	Q31E	Q32A	Q32I	Q32E	Q33A	Q33I	Q33E	Q34A	Q34I	Q34E	Q35A	Q35I	Q35E	Q36A	Q36I	Q36E	Q37A	Q37I	Q37E	Q38A	Q38I	Q38E	Q39A	Q39I	Q39E	Q40A	Q40I	Q40E	Q41A	Q41I	Q41E	Q42A	Q42I	Q42E	country	source	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screensize	uniquenetworklocation	hand	religion	orientation	race	voted	married	familysize	major"
"3	13	2496	3	6	3951	2	23	4134	1	1	2044	4	21	3648	2	33	2372	1	26	4741	2	41	2309	3	2	12223	1	32	4508	3	19	2735	4	17	2752	3	31	1435	1	37	3766	2	11	3584	4	10	2688	2	15	2880	4	34	15689	1	40	4856	3	4	5712	1	3	3368	3	20	2703	1	8	3336	1	38	3798	3	25	3947	3	30	3510	3	35	1844	2	22	2966	2	18	3487	4	7	4904	2	16	2968	3	24	3791	3	27	2075	2	14	1212	3	9	5440	3	29	1887	1	42	2028	1	39	2663	3	5	2400	3	28	3167	1	36	1997	2	12	4335	DE	2	2	170	156	2	5	2	5	6	7	3	6	1	2	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	3	2	2	2	20	2	1	1	6	5	60	2	1	2	translation"
"1	32	5653	1	16	3043	2	34	3107	3	18	2854	3	36	3079	1	4	6144	2	3	14706	1	12	4144	1	40	5705	2	41	3574	1	10	3128	3	33	3090	2	17	2621	2	42	8081	1	21	2346	1	2	2070	2	25	3598	1	35	2092	1	30	2879	1	38	1757	2	8	3616	1	20	2679	1	9	3466	1	11	6631	2	37	14971	2	28	2173	2	29	2226	1	26	2226	2	15	3452	1	19	4744	1	7	2610	2	5	4383	2	39	1866	2	22	2015	1	24	3533	1	1	9138	3	13	4705	2	31	1733	2	14	2771	1	23	11620	3	6	6267	1	27	4509	JM	0	25	185	222	5	2	6	6	5	2	7	1	1	2	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	3	3	2	1	24	2	1	1	7	1	30	2	1	7	business"
"2	7	4153	1	37	2446	2	36	3210	1	5	3448	1	33	2896	1	32	7030	1	39	2385	2	40	1951	2	8	4159	2	26	2528	2	20	2591	2	4	3981	2	41	2222	1	34	3271	1	13	3885	2	19	2719	2	22	2768	1	42	2927	1	11	4664	2	21	3737	2	18	5136	1	23	3137	1	2	4472	2	30	4609	1	6	3455	2	24	3919	1	16	2663	1	28	1616	1	27	2607	1	15	4432	2	25	2232	2	3	5972	2	35	3168	2	31	2295	2	1	16190	1	10	1558	2	17	4984	2	38	2152	2	12	4216	1	14	2960	1	9	2612	3	29	7759	CZ	2	1740	161	78	1	7	5	4	5	7	3	4	5	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	2	1	1	2	27	2	1	1	12	1	60	1	1	4	"
"3	6	2798	1	22	1416	2	42	1752	1	40	1909	3	36	1609	3	7	1561	1	39	1907	2	33	1878	3	37	4357	2	8	2167	3	17	1928	3	10	1960	2	35	1762	2	15	2653	1	16	1728	2	19	2280	4	18	1776	3	12	1785	2	20	4592	3	5	1889	1	24	1696	3	29	1409	1	13	1720	2	1	194378	3	34	2192	2	21	2264	2	27	1355	3	30	1216	2	9	2816	2	2	8795	2	11	2376	3	4	6783	2	32	1417	2	26	1680	3	28	5085	1	41	1392	2	23	1739	2	38	1448	2	25	972	2	14	2874	3	3	2376	3	31	2664	GB	2	716	296	131	1	5	3	2	6	7	5	2	5	2	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	4	2	2	1	30	2	1	3	6	1	60	1	2	3	electronic engineering"
"4	38	2783	4	36	2535	2	3	7636	2	27	3880	1	33	3476	4	9	1942	2	10	4141	2	32	2646	4	20	14649	2	4	3498	4	11	1961	2	15	3451	4	14	1831	4	2	6936	1	19	1857	4	28	3735	4	24	2505	1	5	6517	4	30	4039	1	16	3278	3	40	2278	2	22	2503	1	25	1944	3	8	3421	4	17	8495	4	39	4808	4	18	2254	1	34	1683	3	13	2532	4	31	8556	2	7	2861	4	29	4074	1	23	1966	4	35	1597	4	21	13318	3	37	2340	2	6	3540	4	42	2403	4	1	6820	4	12	3225	1	41	33297	4	26	4045	US	2	49	208	149	6	6	3	7	5	2	4	7	3	4	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	2	3	2	2	13	2	1	1	4	1	10	2	1	2	"
"3	30	3247	2	18	7354	4	38	2906	2	35	6673	4	9	3188	2	34	5847	2	13	4307	2	31	3084	2	26	4067	3	36	6789	2	24	4121	1	2	12291	3	40	4156	2	3	10255	2	39	3185	4	42	3748	2	15	5867	2	1	6503	4	20	4390	2	12	3769	3	29	5195	2	16	5182	3	8	2218	4	28	4114	3	37	4571	2	11	5227	2	19	5611	2	10	4094	2	22	4791	3	33	4176	4	4	4198	3	14	5339	2	21	2701	2	6	4396	3	25	13926	1	23	6994	3	17	6148	3	32	4041	3	7	6261	2	5	4157	3	41	3374	4	27	3048	US	2	12	221	209	1	1	2	2	5	7	5	3	3	3	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	2	1	18	2	1	1	2	0	10	2	1	2	Biology"
"2	35	2001	1	41	2732	1	22	3051	3	28	3685	4	18	2266	2	27	2732	3	6	4183	2	4	4219	3	24	4250	2	33	1734	3	14	2682	3	25	2284	2	19	1899	2	34	2733	1	26	3417	2	32	1549	2	2	5258	2	17	1885	2	11	2951	3	10	1383	2	40	1518	3	9	3116	1	38	2483	2	31	2351	3	20	6500	3	3	6275	2	5	3050	3	36	5200	3	37	3483	2	21	4733	3	1	7952	2	16	4166	3	12	2732	2	39	3450	2	7	8224	3	8	2227	2	42	3034	1	29	3849	2	23	3586	3	15	2717	2	30	3833	3	13	2019	US	2	2	144	95	6	2	6	7	5	1	7	1	3	2	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	4	3	2	1	49	2	1	1	2	1	60	1	2	4	speech pathology"
"1	23	2714	2	32	3338	1	9	3760	1	38	4259	3	16	5616	1	34	2839	1	5	4650	1	31	2263	1	3	6005	2	17	4072	1	13	2761	2	18	3619	2	19	1862	1	35	3026	1	36	1981	1	11	3526	1	22	2509	1	10	3072	2	37	6334	1	15	4523	1	1	5260	2	12	4040	1	39	2013	1	24	4321	2	30	6723	2	33	2387	1	25	2745	1	20	2808	1	42	2622	1	4	4663	1	27	5054	3	21	3526	2	8	4445	1	14	3870	2	28	6864	1	40	1340	1	7	3790	1	29	2995	1	2	10778	1	41	2933	2	6	3556	3	26	5180	US	2	4754	165	94	5	1	3	3	7	5	7	5	5	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	4	2	2	1	42	2	1	1	7	3	60	1	1	2	Psychology"
"2	23	3065	3	11	4765	3	15	6218	1	4	4567	4	7	5900	3	19	2816	1	35	2067	4	33	1765	2	3	7982	4	41	2335	4	25	3382	4	37	3284	4	32	1450	3	39	6682	1	34	3284	4	12	4617	4	24	5686	2	36	3615	1	42	6233	2	2	8048	4	10	2484	2	28	7077	1	17	3683	3	14	3499	1	29	10106	4	1	10556	4	31	2801	4	26	1965	3	21	4831	3	6	8567	4	9	5583	3	8	4900	3	20	2118	3	5	3216	2	30	15199	4	40	2415	3	27	20816	4	38	2551	1	16	3348	4	18	5084	1	13	1859	2	22	7068	CL	2	1655	223	164	3	6	3	7	7	3	5	1	2	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	4	2	1	2	31	2	1	1	1	1	70	1	1	2	civil engineering"
"2	41	4233	2	32	1924	2	38	6782	2	21	5725	1	25	4279	3	40	2403	2	1	7177	2	29	3378	3	4	5215	3	26	5356	4	30	2686	2	36	4509	2	20	2429	4	28	4593	1	18	2798	2	10	3736	3	11	3115	3	5	3297	1	17	5753	3	35	2811	2	42	2965	2	27	6299	2	31	2862	2	39	2866	3	22	4486	3	14	2659	3	15	1767	3	3	1285	3	23	2777	3	6	5482	3	19	2741	3	34	5012	2	37	1662	3	24	1808	3	8	15244	3	9	3021	3	33	4999	3	13	4355	3	7	2460	2	16	3915	3	2	4832	3	12	5028	AE	2	3	180	149	5	4	6	6	6	6	6	6	4	5	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	2	3	2	2	17	2	1	1	4	1	10	2	1	2	"
"3	17	2349	1	21	2553	2	11	4466	3	39	3319	2	30	3124	3	33	2749	3	38	1900	2	16	2114	4	24	5307	2	40	2099	3	1	11020	3	32	2595	3	4	3049	2	35	4168	2	42	4601	2	18	2005	2	6	5501	3	7	2616	1	28	4532	3	5	3458	2	15	2086	3	10	4736	2	8	3616	2	9	2817	3	3	68613	3	23	2270	2	41	2066	4	13	2134	4	29	2352	3	12	4350	2	22	7124	2	20	5781	2	34	1934	2	27	1809	2	37	4284	2	31	1550	2	36	2832	2	25	1866	2	19	2312	4	2	8139	3	26	2624	3	14	3146	US	2	2	212	131	4	4	3	6	3	4	5	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	19	1	1	1	2	1	60	2	1	9	"
"1	34	3127	4	35	2823	2	40	356	2	38	1787	2	7	4046	2	20	1385	3	32	1300	3	21	1919	4	1	2590	3	28	1680	3	31	2175	3	17	2051	2	41	179	2	9	3443	3	29	1461	2	8	16661	2	18	1940	4	5	3049	4	4	3195	3	3	3761	1	10	2028	4	25	2251	3	27	2120	4	24	1765	4	26	1919	2	42	386	1	37	2204	4	23	1788	2	16	2082	1	12	3111	2	11	2427	1	13	2468	4	2	5714	1	15	1748	2	36	4186	3	30	1060	2	33	1871	3	6	2258	4	22	1979	2	39	1927	2	19	1401	1	14	1586	US	2	1	119	100	3	3	5	7	6	6	6	5	2	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	1	1	19	2	1	1	2	2	60	2	1	2	Elglish"
"1	8	3430	1	40	2334	2	5	5321	1	33	1889	2	24	4178	2	2	10207	1	20	2659	1	31	1950	3	35	7504	3	11	1140	2	6	6460	1	29	12704	2	30	2070	1	23	4873	1	4	3718	1	18	6910	3	26	3643	1	21	3162	1	27	7187	1	9	2816	1	37	3799	2	39	2987	1	12	2722	1	32	10024	1	38	2722	2	25	3174	1	16	3270	2	34	2142	2	42	5491	1	41	4596	3	22	4362	1	1	11852	2	28	874	3	15	2678	1	17	6135	1	14	3061	4	10	6996	2	3	3770	2	13	3497	3	7	8192	1	19	2501	1	36	5421	US	2	4	207	137	5	5	6	3	6	6	5	2	4	5	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	1	2	2	1	2	17	2	1	1	6	1	30	2	1	2	"
"2	13	3040	1	17	1969	2	12	2708	1	30	2952	2	26	2328	2	19	3047	2	3	6739	2	29	1766	1	23	6062	2	35	2094	2	16	2230	2	11	3135	2	34	3828	1	4	6154	1	9	2706	2	31	3469	2	27	2079	1	38	2188	1	7	3457	1	33	2953	2	5	2968	2	14	2563	1	1	6108	2	22	2029	2	36	2578	2	28	2046	2	24	2157	2	37	593	1	41	2860	1	40	1906	2	10	3471	2	25	1625	2	2	9522	1	20	2984	1	18	2891	1	39	1500	2	6	5664	2	21	2017	2	8	6200	1	15	3817	1	32	2610	1	42	3001	AW	2	3	137	156	5	5	5	3	6	5	5	2	6	3	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	2	3	1	2	47	2	1	1	6	1	60	2	1	0	"
"1	39	1600	1	20	1360	1	19	1752	1	42	1951	1	38	1752	1	21	1360	1	18	1848	1	6	1615	1	32	2095	1	10	1848	1	29	1336	1	36	1576	1	12	1336	1	4	3688	1	27	1464	1	11	1680	1	16	1919	1	34	1231	1	14	1719	1	5	3640	1	23	1376	1	33	1376	1	25	1680	1	2	7182	1	24	2584	1	31	1192	1	22	1504	1	1	4373	1	40	1801	1	37	1768	1	26	2343	1	13	1728	1	41	1424	1	15	1641	1	8	3032	1	7	1520	1	17	2217	1	3	1847	1	9	1584	1	35	2352	1	28	1376	1	30	1432	NZ	2	11	84	164	7	1	7	1	7	4	7	1	7	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	3	2	1	62	2	1	2	7	1	60	2	3	3	Political Science"
"4	38	1411	2	22	2476	4	18	2414	4	31	1384	4	26	22732	4	24	1531	2	17	7224	4	1	13879	4	35	1811	4	25	1397	4	41	2021	4	39	1673	4	23	1347	3	19	3866	4	32	1361	4	6	3148	4	4	2139	4	2	7802	3	3	4162	4	40	3552	4	34	1305	4	21	1615	2	12	4532	4	13	3912	4	14	3496	4	11	2078	4	42	1078	4	7	1418	4	16	6178	3	28	5538	4	30	1756	4	5	4487	4	10	14042	4	36	1061	4	15	3340	4	9	1068	4	8	2168	4	27	1422	4	37	1468	3	20	3397	2	29	3275	4	33	1613	US	2	16	158	141	1	2	6	5	4	7	5	7	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	1	1	17	1	1	1	1	1	70	2	1	3	physics"
"2	6	6249	2	30	4060	2	39	4379	1	15	15305	3	19	5749	2	37	5984	2	40	4224	3	4	6418	2	32	8690	3	34	4527	2	14	3492	2	21	4378	3	8	4074	2	38	8084	2	10	6315	3	16	4276	2	12	3926	2	33	3490	1	26	5464	1	22	4661	3	7	4511	3	29	4011	2	1	12828	2	23	6483	2	27	9023	3	9	3259	3	5	4377	2	2	14464	2	41	4718	1	3	9220	2	31	3325	1	25	4729	2	11	4577	3	13	4128	2	17	6817	1	18	3726	3	35	3876	2	24	3457	2	36	3524	1	42	4706	1	20	4894	2	28	7134	US	2	3	242	239	6	5	3	6	6	5	6	6	2	6	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	2	1	2	1	37	1	1	1	7	2	60	2	3	2	"
"2	38	3548	3	29	2129	2	2	10437	1	34	6963	1	24	2259	1	21	2848	3	28	2899	2	4	4685	2	1	11874	4	39	1955	1	23	3136	1	13	4117	4	41	1345	4	42	3633	2	11	5797	4	17	3132	4	9	2605	4	16	2758	3	3	12601	1	27	3721	4	31	1757	2	7	6171	1	20	5929	4	40	2418	2	8	11627	4	10	2723	2	18	3502	4	37	2196	2	12	4520	3	30	4603	4	35	2576	4	6	5548	2	32	2421	4	15	2143	2	33	5588	3	14	2900	4	36	2175	4	5	2629	2	22	3561	1	25	5353	3	26	3253	4	19	3000	MX	2	4	179	149	1	6	6	5	7	7	5	5	2	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	3	2	2	2	22	1	1	3	2	2	70	1	1	2	Art"
"1	29	1762	1	21	1926	1	7	3410	1	42	3310	4	20	4808	1	36	1191	1	17	1309	1	16	1495	1	15	5923	1	28	1549	1	26	2073	1	19	1349	1	9	1316	1	32	2906	3	6	4688	1	30	1719	1	31	1507	3	4	4964	1	34	1767	1	37	3821	1	38	1238	2	5	4291	1	14	1610	2	1	8187	1	3	8303	1	41	2021	1	33	1356	1	27	1138	1	39	2451	1	13	6014	1	8	2021	1	11	4061	1	12	6232	2	23	1309	1	25	1704	1	2	5472	1	10	2812	1	24	1884	1	35	1775	1	18	2259	1	22	1281	3	40	2817	US	2	21	131	94	6	5	6	3	7	5	5	5	5	3	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	2	2	1	1	21	2	1	1	2	1	60	2	1	6	Music"
"1	10	3548	1	34	1985	2	30	8342	2	21	2710	2	9	2311	2	40	2996	2	37	3916	2	7	4044	2	28	6947	1	32	1829	2	2	4093	1	13	3685	2	14	2620	1	15	12925	2	33	2380	1	35	2101	1	19	2932	2	11	1885	1	41	3314	1	23	1587	1	29	6125	2	42	5054	1	16	1950	1	27	4196	1	25	7050	1	39	1462	2	5	3406	3	4	3727	2	36	2316	3	3	4484	2	26	3432	1	20	2520	1	18	4965	2	1	10679	1	22	27674	1	24	1081	1	31	4036	1	17	1747	2	8	3862	1	38	4977	2	12	3801	3	6	2864	US	2	1	188	88	5	5	2	3	6	5	3	3	6	2	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	2	1	1	21	2	1	1	1	1	60	1	1	3	Computer Science"
"3	30	2901	4	19	2765	4	3	3755	3	11	3622	4	6	3101	4	20	2734	2	36	2984	2	35	3537	4	28	10210	4	13	1795	3	39	3404	4	31	3185	3	10	1727	2	32	4880	2	15	2079	4	27	2163	4	21	2531	4	23	2129	1	16	4494	3	38	3302	3	2	4997	2	42	3353	4	25	1812	2	1	10151	3	8	866	3	4	2800	3	5	2717	3	17	846	2	37	4176	3	22	5081	2	33	5448	2	41	3320	2	7	3387	3	34	2481	4	9	6288	4	12	1994	4	26	3621	4	18	554	4	24	2950	3	40	1063	3	14	2548	3	29	5700	US	0	1361	173	86	4	3	5	6	4	7	7	5	2	4	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	2	1	24	2	1	1	1	2	10	1	1	1	undecided"
"4	40	5606	1	21	2503	3	9	3453	2	15	2113	3	31	1984	4	19	1215	2	25	4821	4	12	2063	4	6	4827	4	30	1548	4	16	1762	4	11	1515	4	20	1039	4	32	1351	2	28	1876	4	29	1492	4	26	37595	4	35	1450	4	27	1899	3	4	1913	4	38	1257	4	13	1235	4	39	1366	4	10	6689	3	5	3303	3	7	1440	3	1	19882	4	24	2516	4	18	2308	4	17	1981	4	34	1314	4	14	1936	4	2	1672	4	3	4600	4	33	1588	3	37	1146	3	22	1692	4	36	1159	4	8	1413	4	23	2512	2	42	1818	3	41	1843	US	2	28	147	95	5	5	4	7	5	4	7	5	3	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	2	2	1	16	1	1	2	2	2	60	2	1	3	"
"2	23	28702	2	14	10868	2	18	2824	2	20	4798	2	27	3200	3	29	8200	3	22	2600	2	5	7949	4	40	2901	3	4	4846	3	13	6667	4	17	3509	4	37	8962	3	7	4883	2	9	7565	2	42	9606	1	28	2717	2	36	2444	2	1	6949	4	3	4056	2	6	17651	1	35	22258	1	31	2199	2	33	3065	4	32	5617	3	38	1970	4	41	3161	4	21	1967	4	30	1900	2	8	29801	2	39	2083	2	25	17701	3	26	3166	2	2	7450	1	34	3918	3	24	4451	2	12	3635	1	19	2016	3	15	2499	3	11	4466	4	16	4968	2	10	2318	US	2	7	283	108	0	0	0	7	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	1	2	1	17	1	1	1	1	1	60	2	1	1	"
"3	35	3073	3	23	3614	2	4	7524	2	5	8393	4	32	1550	2	3	6712	1	28	1940	4	17	1809	4	40	4049	4	13	2252	3	6	4325	3	41	4231	2	16	2680	3	10	11164	1	27	3011	2	12	3598	4	15	1726	4	34	2166	4	18	3656	1	19	6765	4	8	2536	4	20	2062	2	14	5566	3	9	3602	4	33	2620	4	38	2475	1	7	3142	2	39	3925	2	24	5073	1	26	3508	1	25	3321	3	11	4761	3	21	2828	4	2	7246	3	1	21278	1	22	1680	4	30	2293	4	37	1475	2	29	3551	4	42	2771	1	36	2316	4	31	3722	IT	2	4	176	117	1	5	7	7	7	7	5	6	3	6	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	3	2	2	19	1	1	2	2	3	60	1	1	1	"
"1	37	4134	2	36	3781	2	9	4650	2	27	3854	2	4	7567	2	26	3394	3	5	3803	2	12	4468	2	38	5102	2	1	6797	2	17	5617	4	20	3517	2	33	1865	4	29	4709	3	40	932	4	13	3516	4	11	5551	4	7	11316	1	21	5319	3	14	4616	2	2	8384	2	16	5068	1	8	7218	2	42	4421	2	28	8909	2	35	3332	4	22	2949	4	23	2163	3	24	4262	1	34	4769	3	31	7650	2	6	5172	3	10	40499	2	18	2032	3	30	8233	2	39	2049	3	25	3107	3	15	2716	2	19	4366	3	3	5932	1	41	667	3	32	9784	GB	2	2	247	191	3	6	6	6	4	6	3	1	5	3	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	2	2	1	14	2	1	1	2	1	60	2	1	3	"
"1	9	12335	3	28	4919	2	20	8671	1	3	7652	3	19	6224	2	16	7264	1	22	6096	2	2	15487	1	40	8528	3	42	5982	1	21	5823	2	33	8080	2	31	5216	3	34	9247	1	15	11799	3	27	6983	1	12	11919	2	38	6479	1	39	5919	1	13	5975	2	14	5839	2	5	15519	2	25	7439	2	24	6144	3	30	12480	3	11	8310	2	29	4495	1	8	9139	2	4	7512	1	32	7479	2	26	8096	2	10	13879	2	1	11894	1	37	6672	2	18	10368	1	35	6015	2	23	6056	2	7	10100	1	6	11287	1	36	5440	1	17	7071	3	41	8665	CA	2	4	415	476	2	6	6	2	5	6	7	2	5	4	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	2	3	2	1	85	2	1	1	2	1	60	1	3	4	"
"3	1	15748	1	10	4375	1	29	3024	1	37	7352	1	35	2160	2	4	3784	2	13	4686	1	27	1744	2	36	6472	1	5	2712	2	9	2960	2	41	3399	1	22	2967	2	7	10687	1	21	3785	1	30	2630	1	17	1495	1	34	2455	1	28	10152	4	23	3200	1	25	1824	1	20	3600	1	19	6103	1	31	2152	1	42	5744	1	3	3782	3	38	4536	2	14	3297	2	8	4840	3	39	7504	1	2	6215	3	18	4623	3	24	7535	1	40	1760	2	6	6184	2	32	5480	1	16	4473	1	11	1832	2	26	2704	4	15	3831	2	12	4488	2	33	5865	US	2	7	194	102	2	5	6	6	6	5	3	1	3	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	3	1	1	15	2	2	1	2	3	60	2	1	3	"
"3	42	2671	1	38	2147	2	29	5784	3	23	8898	2	12	3555	3	36	3985	2	10	4050	2	17	3035	4	14	6186	3	11	3839	3	1	8236	1	13	4993	3	32	3622	3	24	4663	1	21	24509	3	34	3841	2	3	14454	3	41	4719	2	25	4538	2	39	2934	3	5	7807	3	20	2718	1	22	1816	3	16	3670	2	28	8598	3	9	3202	4	33	6429	2	37	2465	2	40	3535	3	19	3949	2	30	3167	4	15	3309	4	35	2138	2	31	2718	2	4	19743	3	7	1968	3	27	2435	2	18	2456	4	6	2269	4	2	7485	2	26	3884	2	8	8257	US	2	14	237	118	1	7	3	5	3	7	5	1	3	5	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	2	2	1	15	2	1	1	1	1	60	2	0	2	"
"3	21	2839	2	26	1700	3	22	3495	1	28	5959	3	13	2168	3	10	2274	1	40	2464	2	4	9147	3	9	6396	4	2	9973	3	5	4830	2	17	2137	3	35	1466	2	42	3415	1	31	3182	2	25	2293	3	1	11434	2	7	3853	3	6	7682	2	23	2996	3	8	2515	3	12	1978	2	24	1651	3	11	2735	2	32	4258	2	16	3135	3	37	2075	2	38	2184	2	33	1857	4	14	5382	2	41	3135	3	3	6685	2	29	2590	3	18	2636	2	27	4680	1	39	2090	3	20	2059	3	34	2699	2	30	2059	3	19	3182	3	15	3774	3	36	1997	US	2	2	155	134	4	3	4	5	5	5	6	5	3	4	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	3	1	1	22	2	1	1	1	1	60	2	1	4	"
"4	1	26893	2	14	4502	2	32	3957	1	13	5775	3	40	2692	3	38	3514	3	25	7783	1	6	2941	4	11	22623	4	17	2794	3	23	3479	4	30	4013	4	3	3445	2	26	16618	2	41	3546	2	22	4535	3	4	9839	2	29	44148	4	27	7434	1	35	3572	4	7	6684	2	34	3862	1	12	5794	2	16	7864	4	39	5590	3	24	3390	4	19	3047	1	8	4680	2	37	4542	3	33	7479	3	36	3952	2	5	9533	3	15	4012	4	28	2180	1	31	7172	1	9	2376	4	42	2784	4	2	10528	4	20	1850	4	21	4107	3	10	7113	4	18	5668	US	2	7	299	237	1	6	6	7	2	6	3	7	2	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	1	14	1	1	1	2	2	70	2	1	4	"
"3	1	2519	1	41	1454	3	24	2986	1	36	7162	3	19	2325	3	5	3215	1	22	2465	1	37	1856	2	12	31924	4	16	1927	3	6	2117	2	2	2360	4	15	1519	1	32	2053	1	31	2350	4	30	1349	4	17	1464	3	40	1901	1	42	6360	2	20	9343	4	26	1418	3	18	2202	2	11	2110	4	21	2866	1	33	1281	4	10	1633	2	14	1554	1	34	16402	2	39	2415	2	9	2500	4	38	2319	2	28	23332	1	13	1749	4	29	1884	1	35	2016	3	3	2119	4	27	1667	4	8	1704	3	7	1495	2	4	3656	1	23	1233	3	25	2748	US	2	28	195	138	0	0	0	0	0	0	0	0	0	7	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	2	1	18	1	1	1	7	5	60	1	1	2	Theatre"
"1	17	2946	1	25	1770	1	27	2306	1	15	3954	3	41	4939	2	35	2295	1	32	2087	1	24	2016	2	6	4600	3	37	2513	4	10	3393	1	19	2968	1	2	6060	3	18	4923	1	39	2414	1	20	3395	4	31	2055	1	33	2695	1	12	2436	1	34	1901	1	13	2022	1	28	3552	1	38	1834	1	16	5216	2	36	2578	2	5	1282	3	42	2243	2	1	10042	2	40	3464	1	14	4101	1	29	2443	2	11	3612	2	4	3164	4	21	2834	1	8	3612	1	3	4044	3	9	3362	2	30	2437	3	22	2032	1	7	4108	2	26	2437	4	23	2566	US	0	7	145	238	3	6	5	7	3	4	2	3	4	6	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	2	1	15	1	1	1	7	5	60	2	1	3	"
"4	19	2439	4	10	2584	2	33	3440	4	13	2401	4	2	679	4	18	2745	4	4	2770	4	32	4543	3	1	4156	3	11	4296	4	24	2288	3	20	3833	3	38	3879	2	42	3213	4	28	6315	3	39	4803	4	22	5651	3	17	2848	4	14	3383	3	27	4782	2	40	2017	4	5	5017	3	37	4465	3	35	5821	4	9	4984	3	36	4000	4	25	2575	3	34	3089	3	3	1317	2	12	3553	2	8	3732	3	23	7300	3	30	2713	3	41	2085	3	21	4081	2	15	3499	2	26	3705	2	31	2000	4	16	2485	3	7	3051	4	29	2229	4	6	3866	US	2	415	413	146	1	2	3	6	5	6	5	3	3	2	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	2	2	2	1	18	1	1	1	1	2	60	2	1	3	"
